Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1789442198,447423075,31,0,0,0,0.00,5.21
1789442199,447420147,34,0,0,0,0.00,9.09
1789442200,447411219,37,0,0,0,0.00,8.08
1789442201,447406290,37,0,0,0,0.00,9.09
1789442202,447407361,34,0,1,0,0.00,6.19
1789442203,447421432,42,0,0,0,0.00,6.00
1789442204,447417502,39,1,1,0,0.00,8.16
1789442205,447416572,33,0,0,0,0.00,5.21
1789442206,447407642,38,0,0,0,0.00,3.19
1789442207,447406712,30,0,0,0,0.00,4.17
1789442208,447423781,27,0,1,0,0.00,5.15
1789442209,447425850,13,0,0,0,0.00,2.02
1789442210,447409919,60,1,1,0,0.00,10.00
1789442211,447426987,34,1,1,0,0.00,7.22
1789442212,447402056,27,0,0,0,0.00,5.10
1789442213,447405124,48,0,0,0,0.00,12.00
1789442214,447429191,36,1,1,0,0.00,8.08
1789442215,447413259,30,0,0,0,0.00,3.12
1789442216,447406326,39,0,0,0,0.00,10.89
1789442217,447409393,33,0,0,0,0.00,6.25
1789442218,447402459,36,0,0,0,0.00,4.17
1789442219,447433526,44,0,0,0,0.00,8.25
1789442220,447405592,37,0,0,0,0.00,8.00
1789442221,448142652,41,0,0,0,1.56,5.26
1789442222,447416723,35,1,0,0,0.00,15.00
1789442223,447412788,23,0,0,0,0.00,3.12
1789442224,447419853,32,0,0,0,0.00,6.12
1789442225,447400918,49,2,2,0,0.00,10.31
1789442226,447423983,58,0,0,0,0.00,10.10
1789442227,447421047,55,0,0,0,0.00,11.00
1789442228,447409111,40,0,0,0,0.00,9.09
1789442229,447414174,40,1,1,0,0.00,9.18
1789442230,447402238,30,0,0,0,0.00,4.17
1789442231,447408301,29,0,0,0,0.00,6.12
1789442232,447406364,40,1,1,0,0.00,5.15
1789442233,447404427,40,1,1,0,0.00,6.19
1789442234,447399489,42,0,0,0,0.00,7.29
1789442235,447400551,39,1,1,0,0.00,7.29
1789442236,447406613,31,0,0,0,0.00,7.07
1789442237,447407674,40,0,0,0,0.00,7.14
1789442238,447415736,23,0,0,0,0.00,4.04
1789442239,447401797,29,0,0,0,0.00,6.93
1789442240,447400858,42,1,1,0,0.00,7.37
1789442241,447402918,37,1,2,0,0.00,7.22
1789442242,447433978,35,0,1,0,0.00,6.19
1789442243,447431038,31,0,0,0,0.00,5.15
1789442244,447405098,42,1,1,0,0.00,8.00
1789442245,447419158,38,0,0,0,0.00,7.29
1789442246,447399217,35,0,0,0,0.00,6.12
1789442247,447398276,28,1,1,0,0.00,6.12
1789442248,447407335,31,0,0,0,0.00,5.15
1789442249,447437393,37,0,0,0,0.00,5.26
1789442250,447421452,40,0,1,0,0.00,6.00
1789442251,447413510,45,0,0,0,0.00,8.42
1789442252,447407567,36,0,0,0,0.00,8.08
1789442253,447407625,27,0,0,0,0.00,9.00
1789442254,447409682,27,0,0,0,0.00,5.05
1789442255,447405739,40,0,0,0,0.00,7.07
1789442256,447402796,33,1,1,0,0.00,5.10
1789442257,447408852,35,0,0,0,0.00,7.14
1789442258,447412909,38,1,1,0,0.00,6.32
1789442259,447415965,28,0,1,0,0.00,3.19
1789442260,447421020,30,1,1,0,0.00,10.68
1789442261,449757057,34,0,1,0,7.81,9.80
1789442262,447405131,33,1,1,0,0.00,5.15
1789442263,447415186,31,0,0,0,0.00,6.12
1789442264,447404241,34,0,0,0,0.00,9.00
1789442265,447427295,35,0,0,0,0.00,11.88
1789442266,447407350,40,0,0,0,0.00,7.22
1789442267,447431403,32,0,0,0,0.00,5.05
1789442268,447404457,29,1,1,0,0.00,8.91
1789442269,447410511,40,0,0,0,0.00,11.88
